screen_name,description,url,followers_count,friends_count,listedcount,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot,ff_ratio,modified_date,last_numeric,sn_length,sn_digitcount,sn_lastone,desc_length,diversity,null_url
Weezer,The White Album Deluxe Edition out now - download on iTunes https://t.co/wBYl3ZbxJ2 listen on Spotify https://t.co/TfENgKaTfm Tour dates https://t.co/GDUMuOiLaf,http://t.co/IIJP32O92E,3,2,3,1,1,2,0,0,0,weezer,0,1804,2008-10-10,False,4,0,53,158,21,1
NAS6222,,None,0,0,0,0,0,0,1,1,0,Nick Smith,1,247,2016-07-29,True,5,4,2,1,26,0
RoyBlunt,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.,http://t.co/PG3SSnhQDI,3,3,3,2,1,2,0,0,0,Senator Roy Blunt,0,1033,2009-02-19,False,6,0,55,91,51,1
ikamalhaasan,"Film buff,Actor, Director, Dancer, Writer, Producer",,3,1,3,1,1,1,0,0,1,Kamal Haasan,0,1931,2015-12-28,False,10,0,49,49,21,0
rm_everyfile,Deleting my host server one file at a time // a bot by @mattlaschneider,,1,0,1,0,0,2,0,0,0,RM Everyfile,1,1359,2016-05-19,False,10,0,40,69,29,0
jamesafalk,Public sector & productivity reform activist. Partisan for freedom and effective policy action. Analyst of political and smart classes. Public fallacy hunter.,http://t.co/QPqyZa4MJz,1,1,0,1,0,1,1,0,0,James Falk,0,600,2010-12-27,False,8,0,46,156,34,1
spear_one,SPEAR,,0,1,0,1,0,0,1,0,0,Spear,1,348,2012-04-14,False,7,0,40,3,44,0
JohnCena,The 16x Champ is Here on Twitter! See me Tuesday nights on #SDLIVE on @USA_Network! #NeverGiveUp,https://t.co/p1u0EwvlH3,3,3,3,1,1,2,0,0,0,John Cena,0,1811,2010-05-08,False,6,0,36,94,42,1
JohnOliverBot,What will John Oliver DESTROY next? A @ThisIsFusion bot. http://t.co/TITeSH2I5J,,2,0,1,1,0,2,1,0,0,JohnOliverBot,1,1530,2015-08-27,False,11,0,55,77,48,0
scell_papers,A twitter bot account for papers employing sequencing of single cells,,2,1,2,0,0,1,0,0,0,Single Cell papers,1,1164,2015-03-03,False,10,0,54,67,21,0
earthquakeBot,I am a robot that tweets about any earthquakes 5.0 or greater as they happen. Built by @billsnitzer. Data is from the USGS. Get prepared: http://t.co/VtCEbuw6KH,http://t.co/EznRBcY7a7,3,0,3,0,0,3,1,0,0,Earthquake Robot,1,1846,2010-03-12,False,11,0,55,158,31,1
baeksehuniie,free follow from @itskaisehun go follow !,,2,3,0,2,0,0,1,0,0,#Read Bio,1,434,2016-03-11,False,10,0,40,39,29,0
Rom_Adamsxx,Psychotherapist. Special Education Advocate. Armchair Philosopher. Crusader for the downtrodden. Appreciator of good ideas. Film Buff. Mommy.,,0,3,0,2,0,1,0,0,0,Romeo Adams,1,118,2015-01-01,False,9,0,59,139,36,0
NASA,Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).,https://t.co/TcEE6O9Jfb,3,2,3,3,1,3,0,0,0,NASA,0,1975,2007-12-19,False,2,0,10,91,29,1
m54715303,Hi my name is Sydney ilove my family and friends,,1,3,0,2,0,0,1,0,1,Sydney Martinez,0,252,2017-03-09,True,7,8,3,46,32,0
zzbrittenybcraz,The Bee Guardian Foundation is an educational conservation organisation that aims to help all bee species and other pollinators.,,0,2,0,2,0,0,1,0,0,zzbrittenybcraz,1,103,2016-10-29,False,13,0,61,126,21,0
NathanPacheco,"singer, writer, composer, wanna-be basketball player.",https://t.co/liV2irx1sb,2,2,2,3,1,1,0,0,0,Nathan Pacheco,0,1064,2009-05-16,False,11,0,50,51,23,1
